gene	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox
ENSG00000176715	8.4	17.62	16.35	12.72	6.19	10.64	12.16	11.39	17.91	6.07
ENSG00000151726	1.39	1.64	14.74	3.48	1.7	1.31	0.65	3.29	1.57	3.13
ENSG00000123983	236.49	179.52	142.07	101.85	170.19	262.14	193.97	120.55	134.76	157.76
ENSG00000068366	90.0	70.86	78.0	127.37	143.68	92.48	74.0	86.07	92.02	107.47
ENSG00000197142	0.73	0.93	8.33	4.14	3.54	0.78	1.1	9.47	2.36	0.78
ENSG00000164398	1.75	0.17	0.78	0.96	1.37	0.64	0.75	0.09	1.16	0.22
ENSG00000166743	0.0	0.35	0.0	0.0	0.0	0.15	0.0	1.1	0.11	0.0
ENSG00000183747	0.1	0.35	1.09	0.32	0.85	0.33	0.12	0.15	0.15	0.55
ENSG00000066813	0.0	0.67	1.72	0.44	0.9	0.24	0.0	0.19	0.0	0.71
ENSG00000005187	0.0	1.25	8.27	0.0	0.0	1.02	4.37	16.57	1.58	0.86
ENSG00000215009	0.0	0.14	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0
ENSG00000183549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000154930	0.12	1.16	9.01	0.0	0.15	0.13	3.08	1.11	0.0	0.27
ENSG00000131069	72.86	69.46	45.68	17.72	21.59	65.38	66.33	59.63	28.53	25.19
ENSG00000111058	24.51	55.96	17.24	16.89	15.6	42.17	50.92	11.38	25.46	9.43
ENSG00000143632	0.0	1.76	1.51	0.0	0.25	1.35	0.27	0.75	0.0	0.49
ENSG00000107796	4.08	27.37	31.41	21.85	36.16	3.89	21.77	6.88	23.83	31.55
ENSG00000075624	3325.26	1619.56	3904.37	5241.1	10715.76	3665.07	2453.83	4342.8	2733.55	5807.19
ENSG00000169067	0.0	0.09	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0
ENSG00000159251	1.68	0.13	18.6	0.18	0.78	2.96	69.45	5.56	4.07	1.45
