Ensembl ID(supplied by Ensembl)	Ensembl gene ID	Approved symbol	Previous symbols	Synonyms
ENSG00000093072	ENSG00000093072	ADA2	IDGFL, CECR1	ADGF
ENSG00000164113	ENSG00000164113	ADAD1		Tenr
		ADAD1P1		
ENSG00000267511	ENSG00000267511	ADAD1P2		
ENSG00000140955	ENSG00000140955	ADAD2		TENRL, FLJ00337
ENSG00000168803	ENSG00000168803	ADAL		
ENSG00000229186	ENSG00000229186	ADAM1A	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P
ENSG00000226469	ENSG00000226469	ADAM1B		
ENSG00000104755	ENSG00000104755	ADAM2	FTNB	PH-30b, PH30, CT15
ENSG00000197475	ENSG00000197475	ADAM3A	CYRN1	ADAM3, tMDCI
ENSG00000260089	ENSG00000260089	ADAM3B	CYRN2	
ENSG00000196115	ENSG00000196115	ADAM5	ADAM5P	tMDCII
ENSG00000271968	ENSG00000271968	ADAM6	C14orf96	tMDCIV
ENSG00000069206	ENSG00000069206	ADAM7		GP-83, EAPI
ENSG00000151651	ENSG00000151651	ADAM8		CD156, MS2, CD156A
ENSG00000168615	ENSG00000168615	ADAM9	CORD9	MDC9, KIAA0021, MCMP, Mltng
ENSG00000137845	ENSG00000137845	ADAM10		kuz, MADM, HsT18717, CD156C
ENSG00000073670	ENSG00000073670	ADAM11	MDC	
ENSG00000148848	ENSG00000148848	ADAM12		MCMPMltna, MLTN
		ADAM12-OT1		CAR10, FLJ31066
ENSG00000143537	ENSG00000143537	ADAM15		MDC15
ENSG00000151694	ENSG00000151694	ADAM17	TACE	cSVP, CD156B
ENSG00000168619	ENSG00000168619	ADAM18		tMDCIII, ADAM27
ENSG00000135074	ENSG00000135074	ADAM19		MLTNB
ENSG00000134007	ENSG00000134007	ADAM20		
